customer,email,phone,region,country,product,category,price,quantity,total,payment_method,status,date
Matthew Robinson,laurenzuniga@example.net,001-496-328-2496x3976,Africa,British Indian Ocean Territory (Chagos Archipelago),Including,Books,360.2,9,3241.8,Cash,Completed,2026-03-04
Sarah Roberts,holdererin@example.org,317.220.1996x1044,Europe,Pitcairn Islands,Product,Home,13.16,8,105.28,PayPal,Pending,2026-01-08
Craig Fowler,hwhite@example.com,839.399.0091x448,South America,Cyprus,Human,Clothing,489.18,10,4891.8,Credit Card,Pending,2026-01-09
Shelley Watson,benjaminrobinson@example.org,5227301930,North America,Aruba,Fine,Electronics,269.07,5,1345.35,Credit Card,Completed,2026-01-18
Carla Aguilar,gutierrezandrew@example.net,+1-631-854-3079x120,Europe,Saint Lucia,Film,Home,281.53,10,2815.3,Credit Card,Cancelled,2026-03-08
Leah Walker,iwilson@example.com,(618)781-4028x631,Asia,Suriname,Tend,Home,450.35,10,4503.5,Bank Transfer,Cancelled,2026-01-12
Ronald Green,huntmegan@example.org,306-681-3784x5512,South America,Uzbekistan,Action,Books,209.4,9,1884.6,PayPal,Cancelled,2026-03-19
Mary Hawkins,katherineduran@example.com,001-919-740-0769x0357,Africa,Argentina,Subject,Home,89.79,6,538.74,PayPal,Cancelled,2026-01-04
Jeffrey Pittman,kevinford@example.net,243.446.1232x271,North America,Malta,Strong,Books,452.95,7,3170.65,Credit Card,Pending,2026-02-03
Steven Rodriguez,crystal05@example.net,863-227-5042,Africa,Tanzania,Sea,Clothing,249.87,6,1499.22,Credit Card,Cancelled,2026-03-19
Kevin Phillips,michaelholmes@example.net,+1-364-995-1899,North America,Burkina Faso,Reason,Electronics,209.96,1,209.96,Bank Transfer,Pending,2026-03-01
Nancy Ray,lauragaines@example.com,973-727-7616,South America,Tonga,Kitchen,Home,163.46,4,653.84,Credit Card,Cancelled,2026-02-16
Lee Wong,probinson@example.com,468.873.5001,South America,Saint Helena,My,Sports,58.81,4,235.24,Bank Transfer,Pending,2026-03-23
Heather Franklin,jessicapitts@example.com,519-737-0098,Africa,Georgia,Cell,Home,69.85,3,209.55,Bank Transfer,Pending,2026-02-28
Kyle Webster,jimmygutierrez@example.org,+1-887-869-4182x4872,Africa,Nauru,Scientist,Electronics,92.47,8,739.76,Cash,Cancelled,2026-01-20
Natasha Simmons,bfreeman@example.net,001-953-718-1936,South America,Somalia,Site,Home,449.07,10,4490.7,PayPal,Pending,2026-01-22
Zachary Bowman,zacharybrooks@example.net,001-993-204-9581,Africa,Martinique,Indeed,Electronics,345.27,7,2416.89,Cash,Pending,2026-02-11
Jordan Alexander,mhart@example.com,723-936-1975x29283,Europe,Turkmenistan,Gun,Home,333.39,7,2333.73,Cash,Cancelled,2026-01-29
Nicholas Bright,bchapman@example.org,(348)937-1802x486,Asia,Liberia,Quite,Sports,349.84,5,1749.2,Credit Card,Completed,2026-03-17
Emma Salazar,lopezjose@example.com,+1-370-406-2599x6095,Africa,Jersey,Weight,Sports,17.27,9,155.43,PayPal,Pending,2026-01-14
Tyler Ford,carrillowilliam@example.com,974-505-5564x844,Asia,Uruguay,Land,Electronics,65.63,9,590.67,Cash,Cancelled,2026-01-08
Tara Grant,kroth@example.com,7167630737,Africa,Belarus,Party,Books,121.74,1,121.74,PayPal,Pending,2026-03-19
Pamela Robertson,munozshaun@example.net,299.302.1218x282,Asia,Montserrat,Ok,Sports,415.71,3,1247.13,Bank Transfer,Pending,2026-01-25
Steven Smith,samuelshepard@example.net,(486)515-1679x0479,North America,Grenada,Grow,Clothing,344.2,3,1032.6,Credit Card,Cancelled,2026-04-03
Carol Aguilar,patrick75@example.org,717-975-4260,Asia,Kyrgyz Republic,Record,Electronics,332.35,8,2658.8,Bank Transfer,Cancelled,2026-03-09
Desiree Harmon,castrotraci@example.net,+1-734-288-7050x530,Asia,Czech Republic,Scientist,Home,301.69,3,905.07,Bank Transfer,Completed,2026-03-28
Brittany Green,pamela27@example.net,562.358.3562x923,North America,Dominican Republic,Garden,Sports,72.32,6,433.92,Credit Card,Cancelled,2026-03-08
Sandra Murphy,ggarner@example.net,(301)203-0478x96827,Asia,Central African Republic,Including,Electronics,118.87,8,950.96,Credit Card,Cancelled,2026-03-03
James Hines,christina10@example.org,8024889370,Europe,Turkey,Knowledge,Books,419.24,9,3773.16,PayPal,Cancelled,2026-02-17
Michelle Quinn,qcarter@example.com,524.480.0559x550,Africa,Costa Rica,Value,Sports,404.57,5,2022.85,PayPal,Pending,2026-03-07
William Brown,dfaulkner@example.net,7394619638,South America,Palau,Girl,Books,209.14,9,1882.26,Cash,Cancelled,2026-03-31
Kevin Butler,stephen53@example.net,787.479.4699,Europe,Uruguay,Success,Clothing,263.0,7,1841.0,Bank Transfer,Pending,2026-04-03
Jonathan Bond,griley@example.com,+1-526-674-2270x201,Asia,Burkina Faso,Management,Electronics,190.4,6,1142.4,Credit Card,Cancelled,2026-03-16
Christopher Howell,kenneth45@example.com,(817)705-3666x370,Asia,Seychelles,Door,Sports,79.36,7,555.52,PayPal,Completed,2026-02-05
Ryan Irwin,drewsantiago@example.net,251.268.0206,South America,Reunion,Upon,Electronics,245.38,5,1226.9,Cash,Cancelled,2026-03-07
Laura Moyer,jeffrey43@example.com,314-573-8941x1411,Africa,Kazakhstan,Whom,Electronics,107.03,10,1070.3,PayPal,Cancelled,2026-03-29
Michael Keith,villanuevagwendolyn@example.org,9156365157,South America,Bahamas,Each,Sports,212.34,9,1911.06,Cash,Pending,2026-01-02
Chase Sullivan,riddlebrian@example.com,(606)218-4852,Asia,Tajikistan,Article,Books,55.97,8,447.76,Credit Card,Completed,2026-03-24
Jennifer Thomas,melissapatel@example.net,(346)713-7049x533,South America,Denmark,Interesting,Electronics,227.49,10,2274.9,PayPal,Cancelled,2026-03-18
Angela Rocha,beth38@example.com,575.729.6199x89764,Europe,Algeria,Through,Home,443.37,8,3546.96,Bank Transfer,Completed,2026-01-05
Danielle Harvey,sabbott@example.org,519.528.1854,North America,France,Join,Books,192.63,5,963.15,Bank Transfer,Pending,2026-02-22
Robert Porter,dorseymichele@example.net,(546)343-7374x0613,Asia,Anguilla,Between,Home,238.16,3,714.48,Credit Card,Completed,2026-03-23
Brian Miller,jonespatricia@example.net,001-605-826-0895x55012,North America,Rwanda,Food,Electronics,212.05,4,848.2,Cash,Pending,2026-01-22
Christopher Ramirez,samuelrandolph@example.org,(771)426-4244x07827,Africa,Barbados,Any,Books,252.78,1,252.78,Bank Transfer,Completed,2026-01-22
Melanie Williams,bowens@example.com,221.665.7386x46000,Africa,Lithuania,Clearly,Clothing,138.53,6,831.18,PayPal,Completed,2026-02-04
Jermaine Nguyen,joshuarichards@example.net,670.851.0192,Asia,Hungary,Certainly,Electronics,23.97,3,71.91,Credit Card,Completed,2026-01-03
Sean Fernandez,huntereric@example.org,682.449.4730,Europe,Palau,Officer,Electronics,161.78,7,1132.46,PayPal,Completed,2026-04-02
Aaron Anderson,collinthomas@example.com,845-832-2991x133,Asia,Wallis and Futuna,Side,Clothing,458.01,6,2748.06,Bank Transfer,Completed,2026-03-04
Lee Carpenter,kristenrobinson@example.com,001-305-568-3296x78904,Africa,Turkey,South,Home,122.4,9,1101.6,Cash,Cancelled,2026-02-23
Katherine Adams,gsampson@example.org,(389)961-7489,Asia,Wallis and Futuna,Name,Books,53.8,8,430.4,Bank Transfer,Pending,2026-03-01
Willie Pierce,nknight@example.com,+1-800-477-0788x62849,Europe,South Georgia and the South Sandwich Islands,Never,Clothing,288.15,5,1440.75,Credit Card,Completed,2026-02-15
William Duarte,gregoryjenna@example.org,7363471267,South America,Israel,Foreign,Clothing,20.66,3,61.98,Bank Transfer,Pending,2026-03-02
Courtney Brown,edwardbrown@example.net,780-513-1529,Europe,Slovakia (Slovak Republic),Cold,Home,246.58,1,246.58,Cash,Completed,2026-01-21
Tony Brown,lmartinez@example.org,242-308-9684,South America,Czech Republic,Throughout,Sports,476.46,8,3811.68,Bank Transfer,Completed,2026-03-03
Donald Garcia,danielleserrano@example.org,649-397-9797x835,Africa,Gambia,Skill,Sports,190.99,3,572.97,PayPal,Completed,2026-01-17
Jeremy Gilbert,sarah46@example.org,3553412511,Europe,Trinidad and Tobago,Piece,Books,442.49,7,3097.43,Cash,Pending,2026-03-05
Nicole Riley,meredith22@example.com,001-648-734-7814x910,South America,Armenia,Man,Sports,50.31,4,201.24,PayPal,Cancelled,2026-02-16
Melissa Alexander,rachel95@example.com,961-851-1844x4054,North America,Uzbekistan,Among,Sports,326.32,10,3263.2,Bank Transfer,Pending,2026-03-02
Austin Li,sjones@example.com,518.979.7172x7869,Africa,Tajikistan,Step,Clothing,324.09,2,648.18,PayPal,Completed,2026-01-11
David Smith,kevinbush@example.com,605-263-7812x934,Europe,Turks and Caicos Islands,Better,Books,202.5,7,1417.5,Cash,Cancelled,2026-02-13
James Glover,joy51@example.net,(408)560-7493x58972,South America,Luxembourg,Experience,Clothing,180.59,1,180.59,PayPal,Completed,2026-03-18
Gavin Lee,murphymelissa@example.org,001-539-770-0249x267,Asia,Brunei Darussalam,Interest,Home,296.43,3,889.29,PayPal,Cancelled,2026-01-13
Heather Beard,matthew83@example.com,(656)343-7071,Europe,Iceland,People,Sports,58.66,5,293.3,PayPal,Cancelled,2026-01-13
Louis Lang,jamessilva@example.net,(705)770-7328x24570,North America,Saint Kitts and Nevis,To,Home,485.78,6,2914.68,PayPal,Cancelled,2026-03-14
Meredith Cook,dominique98@example.org,001-837-968-7247,North America,Denmark,Leg,Clothing,228.5,1,228.5,Cash,Cancelled,2026-03-13
Teresa Hubbard,larry89@example.org,919.419.5003,North America,Uganda,Lose,Clothing,419.39,3,1258.17,Cash,Completed,2026-02-28
Eric Cannon,bray@example.com,+1-284-973-8173x6618,South America,Taiwan,Land,Sports,35.69,10,356.9,PayPal,Pending,2026-01-07
John Mcdaniel,christine46@example.org,7144589393,North America,Russian Federation,Soldier,Sports,118.9,4,475.6,Bank Transfer,Completed,2026-02-11
Joshua Vargas,bethanyherrera@example.com,(423)355-8855x73342,Europe,South Africa,News,Books,38.14,9,343.26,Cash,Cancelled,2026-02-25
Walter Webster,justinbarker@example.com,489.334.9570,South America,Germany,Kind,Electronics,403.98,3,1211.94,PayPal,Pending,2026-01-10
Kimberly Smith,yhooper@example.net,001-560-363-5229x17414,North America,Nepal,Other,Home,443.41,5,2217.05,Cash,Pending,2026-02-28
Paul Skinner,hayescarolyn@example.com,(894)844-8331,South America,Spain,Someone,Books,169.44,1,169.44,Bank Transfer,Cancelled,2026-02-10
Brian Bates,armstrongjamie@example.com,(474)564-8578,South America,Latvia,Little,Sports,340.99,5,1704.95,Credit Card,Completed,2026-01-25
Sheri Lang,michael85@example.org,741-740-5076x44699,Europe,Oman,That,Electronics,478.72,10,4787.2,Credit Card,Cancelled,2026-01-22
Alexa Gibson,leonardkeith@example.com,877-307-4868x15588,North America,Mauritania,Serious,Home,53.62,2,107.24,Cash,Completed,2026-01-12
Aaron Lloyd,dcarr@example.com,+1-594-673-9702,South America,Venezuela,Bit,Sports,137.05,5,685.25,Cash,Completed,2026-03-17
Cameron Smith,wesleyjohnson@example.net,+1-322-602-0472x0910,North America,Germany,Eat,Clothing,65.13,6,390.78,Credit Card,Cancelled,2026-02-12
Brent Lawrence,harpersarah@example.org,001-368-747-4951x823,Africa,Senegal,Simple,Clothing,221.23,8,1769.84,Bank Transfer,Pending,2026-04-05
Crystal Bowman,qbryant@example.net,001-759-627-8641x05631,Asia,Finland,Want,Sports,432.08,1,432.08,Bank Transfer,Pending,2026-04-05
Nicholas Green DVM,sarahcunningham@example.net,255.905.4536x677,Africa,Italy,Action,Electronics,364.62,10,3646.2,Credit Card,Completed,2026-01-25
Xavier Young,valerieellis@example.org,3898382520,North America,Western Sahara,Remember,Electronics,87.62,9,788.58,Credit Card,Completed,2026-02-26
Shawn Huff,qsnyder@example.org,(373)333-0062x65371,Europe,Russian Federation,Along,Clothing,222.52,9,2002.68,PayPal,Pending,2026-02-22
William Hernandez,wgreen@example.net,727.443.2440,South America,Cote d'Ivoire,Specific,Electronics,466.47,7,3265.29,PayPal,Completed,2026-01-19
Jared Jacobs,daniel81@example.net,+1-811-673-9713x100,Africa,United States Virgin Islands,Live,Clothing,469.25,7,3284.75,PayPal,Cancelled,2026-03-30
Michael Cantu,lisa45@example.net,802.789.9869x65894,North America,Congo,Peace,Books,206.06,10,2060.6,Cash,Pending,2026-02-23
Alyssa Richardson,beckypowell@example.com,001-449-553-4088x9637,Africa,Cambodia,Professional,Home,49.56,3,148.68,PayPal,Pending,2026-02-23
Robert Robinson,oliverwendy@example.org,592-739-8317x409,Africa,Mayotte,At,Sports,42.91,8,343.28,Bank Transfer,Pending,2026-01-14
Melissa Wilkins,montgomeryamanda@example.com,+1-707-252-3278x5946,South America,Latvia,Try,Sports,278.07,6,1668.42,Cash,Completed,2026-03-23
John Harris,racheltorres@example.com,385-838-3986,North America,Ireland,Industry,Books,330.1,3,990.3,Credit Card,Pending,2026-02-15
Anna Peters,wilsonanthony@example.org,(435)850-9467x8701,Europe,Rwanda,Direction,Sports,243.22,10,2432.2,Bank Transfer,Cancelled,2026-04-04
Scott Johnson,valentinejulie@example.com,804-476-2557x736,Europe,Svalbard & Jan Mayen Islands,Per,Sports,444.71,9,4002.39,Bank Transfer,Completed,2026-02-07
Michele Patterson,wdiaz@example.org,(551)412-5569x88676,Europe,British Indian Ocean Territory (Chagos Archipelago),Read,Books,48.74,1,48.74,Cash,Pending,2026-04-04
Kayla Brock,gbrown@example.org,001-328-867-8041,Europe,Aruba,Power,Home,216.75,10,2167.5,Bank Transfer,Pending,2026-01-06
Erik Contreras,isaacclark@example.com,001-768-767-2737x6324,North America,Libyan Arab Jamahiriya,Small,Sports,258.42,8,2067.36,Bank Transfer,Completed,2026-02-25
Jeffrey Brown,deborahcharles@example.org,702.429.9114x489,Asia,Hong Kong,Necessary,Clothing,59.15,2,118.3,Cash,Pending,2026-02-20
Michael Cruz,leepatricia@example.net,(746)668-5864x836,Asia,Lao People's Democratic Republic,Do,Books,477.06,5,2385.3,Cash,Pending,2026-01-01
Sarah Peters,christopher21@example.com,+1-751-980-8956x685,Africa,Finland,Subject,Electronics,419.83,8,3358.64,PayPal,Completed,2026-03-09
Cory Hays,wendygarcia@example.com,6917510910,Europe,Grenada,Kind,Home,469.83,1,469.83,Bank Transfer,Pending,2026-03-24
James Boyer,jamie20@example.com,247-949-2794x4491,Asia,Maldives,From,Books,142.73,6,856.38,Cash,Pending,2026-03-03
James Clarke,heathtara@example.com,997.465.5540x8326,North America,Zimbabwe,Later,Clothing,73.0,4,292.0,PayPal,Completed,2026-03-21
Mariah Hughes,alexanderwilliams@example.org,(460)769-3033,South America,Kenya,Official,Clothing,255.73,3,767.19,PayPal,Completed,2026-02-24
Colin Ortiz,samanthajones@example.org,+1-586-639-0674,Africa,New Zealand,Plant,Electronics,135.29,7,947.03,Cash,Pending,2026-03-29
Nichole Clayton,madelinewebb@example.org,627-980-5176x564,Asia,Nigeria,Today,Clothing,63.36,4,253.44,Cash,Completed,2026-01-17
Jacqueline Johnson,millerjesus@example.org,001-221-248-8841x820,North America,El Salvador,Similar,Home,274.14,8,2193.12,Bank Transfer,Completed,2026-02-11
Michael Mcgee,cathy91@example.org,210-511-3922x08611,Europe,Bangladesh,Step,Home,116.5,1,116.5,Bank Transfer,Cancelled,2026-03-07
Kelly Padilla,teresafernandez@example.com,(479)400-7252x495,South America,Suriname,Child,Clothing,438.83,9,3949.47,Cash,Pending,2026-01-11
Erica Cardenas,ifoster@example.org,(882)969-3611,Africa,Singapore,Charge,Electronics,498.65,2,997.3,Credit Card,Pending,2026-01-11
Brett Zamora,angelacarr@example.com,573-949-5904x073,South America,Holy See (Vatican City State),Name,Books,173.92,4,695.68,Cash,Cancelled,2026-03-23
Lisa Hebert,daniel21@example.org,(612)847-9439x8324,Asia,Georgia,Black,Home,99.8,5,499.0,Cash,Completed,2026-01-22
Kristin Hoffman,jholloway@example.com,+1-254-575-8119,North America,Finland,Care,Books,229.72,6,1378.32,Bank Transfer,Cancelled,2026-02-08
Andrew Stewart,okennedy@example.com,001-741-757-8656x63429,Europe,Senegal,Wish,Electronics,153.85,9,1384.65,Credit Card,Cancelled,2026-02-28
David Kelley,angelabrooks@example.com,001-240-975-9438,Europe,Rwanda,Foreign,Clothing,91.53,7,640.71,Credit Card,Pending,2026-01-31
Shelly Clark,paulwarner@example.net,001-783-470-9077x0584,Africa,Moldova,Own,Home,238.71,1,238.71,PayPal,Pending,2026-02-11
Darlene Estrada,jill97@example.net,001-326-393-5355x118,North America,Antigua and Barbuda,Research,Electronics,296.22,3,888.66,PayPal,Pending,2026-03-13
Jim Hooper,fischercristian@example.net,643-672-8739x6668,Asia,Bulgaria,Catch,Sports,347.19,7,2430.33,PayPal,Pending,2026-03-01
Cody Gonzalez,larryharper@example.net,(559)591-6931x67165,Europe,Gambia,Its,Electronics,376.01,2,752.02,Bank Transfer,Pending,2026-01-06
Amy Ayers,tammyhuerta@example.org,+1-780-989-4186,Africa,Namibia,Entire,Electronics,369.94,9,3329.46,Bank Transfer,Pending,2026-02-15
Mike Copeland,melanie58@example.net,(639)933-2896x57846,South America,Armenia,Traditional,Clothing,220.57,6,1323.42,Cash,Pending,2026-02-24
Stephanie Garner,brandon12@example.com,001-396-305-2665x22744,South America,Gibraltar,Institution,Books,487.25,1,487.25,Bank Transfer,Pending,2026-01-15
Bradley Burns,vreilly@example.org,877.392.3883,Asia,Serbia,Big,Books,326.74,6,1960.44,PayPal,Cancelled,2026-04-03
Jonathan Collins,martingriffin@example.com,(780)413-7651,South America,Palestinian Territory,Culture,Home,208.26,1,208.26,Bank Transfer,Pending,2026-02-22
Kaitlyn Jenkins,wlyons@example.net,+1-651-242-7819x3037,Europe,Mauritania,Later,Electronics,247.48,1,247.48,PayPal,Pending,2026-03-12
Eric Garrison,dana40@example.org,697-808-5301x659,North America,Argentina,Different,Books,16.68,9,150.12,Bank Transfer,Pending,2026-04-03
Richard Valentine,williamspeter@example.net,+1-936-556-0632x28300,Africa,United Arab Emirates,Song,Books,332.6,6,1995.6,PayPal,Pending,2026-03-26
Bonnie Turner,jpitts@example.com,001-752-899-9292,North America,Bahrain,Serious,Electronics,462.49,3,1387.47,Bank Transfer,Pending,2026-03-05
Chad Lee,awillis@example.org,697.959.0570x8713,Asia,Venezuela,Water,Electronics,196.22,8,1569.76,PayPal,Cancelled,2026-03-15
Angel Weiss,suarezdakota@example.org,632.767.3553x11314,Asia,Belize,Significant,Home,358.27,7,2507.89,Bank Transfer,Cancelled,2026-03-08
Juan Miller,kellerdaniel@example.org,001-261-823-6938x94436,Asia,Benin,Us,Clothing,488.68,1,488.68,Bank Transfer,Cancelled,2026-01-30
Leslie Griffin,williamsstephen@example.com,+1-517-314-4845,Asia,French Polynesia,Move,Home,107.4,4,429.6,Cash,Pending,2026-03-04
Jill Dyer,allison84@example.com,(508)330-0009,Asia,Djibouti,Safe,Clothing,236.88,9,2131.92,Bank Transfer,Completed,2026-02-03
Heather Booth,traci01@example.net,9819716943,Asia,Finland,Interesting,Home,439.57,8,3516.56,Bank Transfer,Pending,2026-02-24
Dr. Terry Perkins,danieljackson@example.org,597.479.6907x8247,Africa,Myanmar,Life,Clothing,153.33,7,1073.31,Cash,Pending,2026-03-09
Peter Holt,rebeccamiller@example.org,746.543.9306,Europe,Tonga,Structure,Books,62.85,8,502.8,PayPal,Pending,2026-03-06
Mary Yoder,vickiegonzalez@example.com,(697)356-8540,North America,Saudi Arabia,Security,Clothing,133.6,4,534.4,Cash,Pending,2026-01-27
Robert Rodriguez,acostasusan@example.org,+1-313-408-8601x59144,Africa,Turks and Caicos Islands,Training,Clothing,366.32,1,366.32,Cash,Cancelled,2026-01-15
Chad Shelton,austinwarren@example.com,001-429-749-2701x3814,Asia,Montenegro,Loss,Clothing,396.93,5,1984.65,PayPal,Pending,2026-01-14
Brenda Baker,shelleyhall@example.com,6184121528,Europe,Kyrgyz Republic,Easy,Clothing,478.33,1,478.33,Bank Transfer,Completed,2026-03-16
Denise Nelson,adamsdavid@example.com,394-915-6112,North America,Honduras,Local,Books,428.51,7,2999.57,Bank Transfer,Cancelled,2026-03-13
Lance Miller,garrisonlisa@example.org,200.823.0767,Asia,Western Sahara,Let,Clothing,192.29,10,1922.9,Credit Card,Cancelled,2026-01-17
Daniel Abbott,bknight@example.com,526.905.2677x81856,South America,Mauritius,Class,Sports,36.35,3,109.05,Cash,Cancelled,2026-02-14
Jordan Reid,qlawrence@example.org,001-532-514-9222x433,Europe,Israel,Apply,Books,431.84,9,3886.56,Credit Card,Completed,2026-01-08
Tracie Russell,williamsmichael@example.com,001-643-798-9606x04764,North America,Sudan,Join,Clothing,366.89,2,733.78,PayPal,Cancelled,2026-02-23
Steven Russell,hpalmer@example.org,379.509.6682x274,Africa,South Africa,Draw,Home,427.9,9,3851.1,Credit Card,Cancelled,2026-01-20
Madison Brown,tracy49@example.com,504-396-5797,South America,South Georgia and the South Sandwich Islands,Number,Electronics,67.84,10,678.4,Bank Transfer,Completed,2026-02-13
Heather Lopez,zjohnson@example.org,483-313-1144,Africa,Anguilla,Book,Clothing,306.08,6,1836.48,PayPal,Cancelled,2026-03-21
Robert Sanchez,carolvaughn@example.com,+1-667-562-4898x57823,Asia,France,Wonder,Sports,208.12,1,208.12,Credit Card,Cancelled,2026-02-11
Mr. Chad Ho,nguyenjulie@example.org,8514833835,Africa,Bosnia and Herzegovina,Plant,Sports,433.35,7,3033.45,Credit Card,Completed,2026-03-11
Dana Arroyo,maciaskristi@example.net,615.201.3274,Europe,Somalia,Threat,Sports,400.9,10,4009.0,Credit Card,Completed,2026-01-29
Tracy Clark,ambercrawford@example.org,(677)961-4273,South America,Congo,Quickly,Home,446.54,1,446.54,Cash,Cancelled,2026-01-24
Julia Anderson,shartman@example.com,332.413.5510x7310,South America,Saudi Arabia,Keep,Home,332.6,2,665.2,Bank Transfer,Completed,2026-03-25
Brandi Werner,kellyjason@example.com,276-259-1128,Asia,Luxembourg,Themselves,Books,253.85,3,761.55,Cash,Cancelled,2026-03-18
Sara Reese,brett84@example.com,275-302-9286,Europe,Namibia,Purpose,Books,243.87,4,975.48,Cash,Completed,2026-03-24
Gabriela Gray,keith69@example.org,322.293.4055,Asia,Mauritius,Education,Home,438.45,1,438.45,PayPal,Pending,2026-01-30
Helen Williams,stonedavid@example.com,(676)326-3656x147,North America,South Africa,Try,Books,356.32,2,712.64,Credit Card,Pending,2026-03-31
